Well API,Well ID,Well Name,Property ID,Property Name,Operator Name,Well Type,Well Status,County,Latitude,Longitude,Well Log #
30-003-20022,20022,COTTON WOOD CANYON UNIT #001,26839,COTTON WOOD CANYON UNIT,RIDGEWAY ARIZONA OIL CORP.,CO2,"Plugged, Site Released",Catron,34.1783638,-108.9941559,4
30-003-20040,20040,COTTON WOOD CANYON UNIT #012,310112,COTTON WOOD CANYON UNIT,KINDER MORGAN CO2 CO. LP,CO2,"Plugged, Site Released",Catron,34.1678238,-108.9898529,3
30-003-20020,20020,STATE 1-2 #001,21625,STATE 1-2,RIDGEWAY ARIZONA OIL CORP.,CO2,Cancelled Apd,Catron,34.25715006,-108.999924,0
30-003-20021,20021,NORTH STATE 36 #001,21626,NORTH STATE 36,RIDGEWAY ARIZONA OIL CORP.,CO2,Cancelled Apd,Catron,34.2613079,-108.9989477,0
30-003-20026,20026,COTTON WOOD CANYON UNIT #003,310112,COTTON WOOD CANYON UNIT,KINDER MORGAN CO2 CO. LP,CO2,"Plugged, Site Released",Catron,34.2613029,-108.9857483,10
30-003-20025,20025,COTTON WOOD CANYON UNIT #004,310112,COTTON WOOD CANYON UNIT,KINDER MORGAN CO2 CO. LP,CO2,"Plugged, Site Released",Catron,34.3056221,-108.9328079,4
30-003-20004,20004,STATE 2111 #001,28156,STATE 2111,"TRANSOCEAN OIL, INC",Oil,"Plugged, Site Released",Catron,34.407383,-108.6788635,1
30-003-60001,60001,PRE-ONGARD WELL #001,30041,PRE-ONGARD WELL,PRE-ONGARD WELL OPERATOR,Gas,"Plugged, Site Released",Catron,34.41750866,-108.4777769,0
30-003-20007,20007,STATE 2095 #001,28155,STATE 2095,"TRANSOCEAN OIL, INC",Gas,"Plugged, Site Released",Catron,34.3746452,-108.4776154,0
30-003-05015,5015,PRE-ONGARD WELL #001,30041,PRE-ONGARD WELL,PRE-ONGARD WELL OPERATOR,Gas,"Plugged, Site Released",Catron,34.35185384,-108.4912254,0